mode: set
1337b04rd/cmd/1337b04rd/main.go:24.13,26.16 2 0
1337b04rd/cmd/1337b04rd/main.go:26.16,28.3 1 0
1337b04rd/cmd/1337b04rd/main.go:29.2,41.16 9 0
1337b04rd/cmd/1337b04rd/main.go:41.16,44.3 2 0
1337b04rd/cmd/1337b04rd/main.go:46.2,48.16 2 0
1337b04rd/cmd/1337b04rd/main.go:48.16,51.3 2 0
1337b04rd/cmd/1337b04rd/main.go:53.2,72.12 8 0
1337b04rd/cmd/1337b04rd/main.go:72.12,74.80 2 0
1337b04rd/cmd/1337b04rd/main.go:74.80,76.4 1 0
1337b04rd/cmd/1337b04rd/main.go:80.2,89.45 7 0
1337b04rd/cmd/1337b04rd/main.go:89.45,91.3 1 0
1337b04rd/cmd/1337b04rd/main.go:93.2,93.39 1 0
1337b04rd/cmd/1337b04rd/main.go:97.49,98.71 1 0
1337b04rd/cmd/1337b04rd/main.go:98.71,107.28 6 0
1337b04rd/cmd/1337b04rd/main.go:107.28,110.4 2 0
1337b04rd/cmd/1337b04rd/main.go:113.3,113.23 1 0
1337b04rd/cmd/1337b04rd/main.go:117.32,122.16 3 0
1337b04rd/cmd/1337b04rd/main.go:122.16,124.3 1 0
1337b04rd/cmd/1337b04rd/main.go:127.2,127.33 1 0
1337b04rd/cmd/1337b04rd/main.go:127.33,129.3 1 0
1337b04rd/cmd/1337b04rd/main.go:132.2,137.16 5 0
1337b04rd/internal/adapters/handlers/comment_handler.go:15.82,19.2 1 0
1337b04rd/internal/adapters/handlers/comment_handler.go:21.84,27.16 4 0
1337b04rd/internal/adapters/handlers/comment_handler.go:27.16,30.3 2 0
1337b04rd/internal/adapters/handlers/comment_handler.go:32.2,37.58 4 0
1337b04rd/internal/adapters/handlers/comment_handler.go:37.58,40.3 2 0
1337b04rd/internal/adapters/handlers/comment_handler.go:42.2,45.16 3 0
1337b04rd/internal/adapters/handlers/comment_handler.go:45.16,48.3 2 0
1337b04rd/internal/adapters/handlers/comment_handler.go:50.2,53.16 3 0
1337b04rd/internal/adapters/handlers/comment_handler.go:53.16,56.3 2 0
1337b04rd/internal/adapters/handlers/comment_handler.go:58.2,60.48 2 0
1337b04rd/internal/adapters/handlers/comment_handler.go:63.83,72.16 5 0
1337b04rd/internal/adapters/handlers/comment_handler.go:72.16,73.41 1 0
1337b04rd/internal/adapters/handlers/comment_handler.go:73.41,76.4 2 0
1337b04rd/internal/adapters/handlers/comment_handler.go:77.3,79.9 3 0
1337b04rd/internal/adapters/handlers/comment_handler.go:82.2,85.8 3 0
1337b04rd/internal/adapters/handlers/post_handler.go:14.70,18.2 1 0
1337b04rd/internal/adapters/handlers/post_handler.go:20.78,24.16 3 0
1337b04rd/internal/adapters/handlers/post_handler.go:24.16,27.3 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:29.2,30.16 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:30.16,33.3 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:35.2,46.16 5 0
1337b04rd/internal/adapters/handlers/post_handler.go:46.16,49.3 2 0
1337b04rd/internal/adapters/handlers/post_handler.go:51.2,51.45 1 0
